province,city,distance,rice_ratio,Lineage,fr,sex_ratio,FS,P_tgf,P_ila,dr,pd,lon,lat,GDP,nap,CD
陕西,太白,1254.9,0.4264,0.737968,1.47,104.826,3.37,23.325195,11.43751,1.627764,14.825796886582653,107.32,34.07,91,21.48,27.6
陕西,扶风,1177.1,0.4264,0.848967,1.66,124.7902,3.77,30.906909,7.665502,1.001873,518.6170212765958,107.87,34.37,5735,8.81,29.0
陕西,凤县,1338.7,0.4264,0.724638,1.42,102.2262,3.0,18.649498,18.368779,1.869292,21.96422968308754,106.52,33.92,6654,24.29,24.7
陕西,眉县,1189.0,0.4264,0.747541,1.49,115.0832,3.56,29.573957,8.549793,1.352994,301.27462340672076,107.75,34.28,533,10.51,28.2999999999999
陕西,安塞,945.9,0.3412,0.757426,1.75,126.1501,3.21,10.365393,11.123139,0.801384,50.847457627118644,109.32,36.87,7224,15.2,32.5999999999999
陕西,宜川,882.2,0.3412,0.851421,1.44,117.2735,3.05,12.950644,12.91309,1.039374,30.706243602865914,110.17,36.05,1324,14.24,31.3
陕西,志丹,1001.8,0.3412,0.829243,1.63,122.905,3.26,12.389586,8.928664,0.794928,29.231995748073345,108.77,36.82,13863,23.08,31.0999999999999
陕西,延川,850.2,0.3412,0.892628,1.63,124.4541,3.22,5.291016,9.910156,0.782798,70.52896725440806,110.18,36.88,655,23.23,34.3
陕西,黄龙,941.3,0.3412,0.707547,1.59,118.7894,3.17,16.564376,13.735824,2.055759,10.873504893077202,109.83,35.58,635,30.85,27.7
陕西,洛川,967.9,0.3412,0.864164,1.47,131.1819,3.58,23.725071,6.918087,1.058005,94.49694274596997,109.43,35.77,12815,13.91,28.7
陕西,黄陵,998.8,0.3412,0.782653,1.54,122.7002,2.89,11.34323,15.176619,1.134886,34.904013961605585,109.25,35.58,699,39.46,27.9
陕西,富县,964.1,0.3412,0.760274,1.54,123.1132,3.47,19.413635,8.782955,1.004968,26.31578947368421,109.37,35.98,1939,21.02,31.0999999999999
陕西,延长,905.8,0.3412,0.865517,1.61,111.3871,2.89,6.741732,13.104212,1.178737,46.4527027027027,110.0,36.58,2548,25.1,33.1
陕西,子长,864.6,0.3412,0.768362,1.8,123.9272,3.28,7.83864,9.767668,0.748349,79.33194154488518,109.67,37.13,5944,23.18,32.4
